access,from,from_i,start_time,stop_time,to,to_i
0,S2,2,2019-06-19 16:06:18.941,2019-06-19 16:10:18.141,CAL,5
1,S1,1,2019-06-19 16:17:24.550,2019-06-19 16:29:10.882,S2,2
2,S1,1,2019-06-19 16:17:24.550,2019-06-19 16:29:10.882,S2,2
3,S2,2,2019-06-19 16:17:24.550,2019-06-19 16:29:10.882,S1,1
4,S2,2,2019-06-19 16:17:24.550,2019-06-19 16:29:10.882,S1,1
5,S2,2,2019-06-19 17:04:52.397,2019-06-19 17:16:38.728,S1,1
6,S1,1,2019-06-19 17:04:52.397,2019-06-19 17:16:38.728,S2,2
7,S2,2,2019-06-19 17:04:52.397,2019-06-19 17:16:38.728,S1,1
8,S1,1,2019-06-19 17:04:52.397,2019-06-19 17:16:38.728,S2,2
9,S1,1,2019-06-19 17:52:15.177,2019-06-19 18:04:01.515,S2,2
10,S1,1,2019-06-19 17:52:15.177,2019-06-19 18:04:01.515,S2,2
11,S2,2,2019-06-19 17:52:15.177,2019-06-19 18:04:01.515,S1,1
12,S2,2,2019-06-19 17:52:15.177,2019-06-19 18:04:01.515,S1,1
13,S1,1,2019-06-19 18:27:56.308,2019-06-19 18:35:13.287,SAA,4
14,S2,2,2019-06-19 18:39:43.029,2019-06-19 18:51:29.357,S1,1
15,S1,1,2019-06-19 18:39:43.029,2019-06-19 18:51:29.357,S2,2
16,S1,1,2019-06-19 18:39:43.029,2019-06-19 18:51:29.357,S2,2
17,S2,2,2019-06-19 18:39:43.029,2019-06-19 18:51:29.357,S1,1
18,S1,1,2019-06-19 19:27:05.808,2019-06-19 19:38:52.146,S2,2
19,S1,1,2019-06-19 19:27:05.808,2019-06-19 19:38:52.146,S2,2
20,S2,2,2019-06-19 19:27:05.808,2019-06-19 19:38:52.146,S1,1
21,S2,2,2019-06-19 19:27:05.808,2019-06-19 19:38:52.146,S1,1
22,S2,2,2019-06-19 19:59:04.839,2019-06-19 20:10:13.337,SAA,4
23,S1,1,2019-06-19 19:59:08.821,2019-06-19 20:10:44.913,SAA,4
24,S1,1,2019-06-19 20:14:33.662,2019-06-19 20:26:19.985,S2,2
25,S2,2,2019-06-19 20:14:33.662,2019-06-19 20:26:19.985,S1,1
26,S2,2,2019-06-19 20:14:33.662,2019-06-19 20:26:19.985,S1,1
27,S1,1,2019-06-19 20:14:33.662,2019-06-19 20:26:19.985,S2,2
28,S2,2,2019-06-19 21:01:56.436,2019-06-19 21:13:42.780,S1,1
29,S1,1,2019-06-19 21:01:56.436,2019-06-19 21:13:42.780,S2,2
30,S2,2,2019-06-19 21:01:56.436,2019-06-19 21:13:42.780,S1,1
31,S1,1,2019-06-19 21:01:56.436,2019-06-19 21:13:42.780,S2,2
32,S2,2,2019-06-19 21:34:00.403,2019-06-19 21:43:16.777,SAA,4
33,S1,1,2019-06-19 21:36:29.906,2019-06-19 21:46:39.994,SCL,3
34,S2,2,2019-06-19 21:38:28.011,2019-06-19 21:44:48.755,SCL,3
35,S2,2,2019-06-19 21:49:24.291,2019-06-19 22:01:10.613,S1,1
36,S1,1,2019-06-19 21:49:24.291,2019-06-19 22:01:10.613,S2,2
37,S1,1,2019-06-19 21:49:24.291,2019-06-19 22:01:10.613,S2,2
38,S2,2,2019-06-19 21:49:24.291,2019-06-19 22:01:10.613,S1,1
39,S1,1,2019-06-19 22:36:47.065,2019-06-19 22:48:33.412,S2,2
40,S2,2,2019-06-19 22:36:47.065,2019-06-19 22:48:33.412,S1,1
41,S1,1,2019-06-19 22:36:47.065,2019-06-19 22:48:33.412,S2,2
42,S2,2,2019-06-19 22:36:47.065,2019-06-19 22:48:33.412,S1,1
43,S2,2,2019-06-19 23:09:02.921,2019-06-19 23:20:41.941,SCL,3
44,S1,1,2019-06-19 23:09:53.339,2019-06-19 23:20:45.977,SCL,3
45,S1,1,2019-06-19 23:24:14.926,2019-06-19 23:36:01.243,S2,2
46,S1,1,2019-06-19 23:24:14.926,2019-06-19 23:36:01.243,S2,2
47,S2,2,2019-06-19 23:24:14.926,2019-06-19 23:36:01.243,S1,1
48,S2,2,2019-06-19 23:24:14.926,2019-06-19 23:36:01.243,S1,1
49,S1,1,2019-06-20 00:11:37.694,2019-06-20 00:23:24.042,S2,2
50,S2,2,2019-06-20 00:11:37.694,2019-06-20 00:23:24.042,S1,1
51,S1,1,2019-06-20 00:11:37.694,2019-06-20 00:23:24.042,S2,2
52,S2,2,2019-06-20 00:11:37.694,2019-06-20 00:23:24.042,S1,1
53,S2,2,2019-06-20 00:46:26.074,2019-06-20 00:52:04.499,SCL,3
54,S1,1,2019-06-20 00:59:05.556,2019-06-20 01:10:51.873,S2,2
55,S2,2,2019-06-20 00:59:05.556,2019-06-20 01:10:51.873,S1,1
56,S1,1,2019-06-20 00:59:05.556,2019-06-20 01:10:51.873,S2,2
57,S2,2,2019-06-20 00:59:05.556,2019-06-20 01:10:51.873,S1,1
58,S2,2,2019-06-20 01:46:28.321,2019-06-20 01:58:14.674,S1,1
59,S1,1,2019-06-20 01:46:28.321,2019-06-20 01:58:14.674,S2,2
60,S2,2,2019-06-20 01:46:28.321,2019-06-20 01:58:14.674,S1,1
61,S1,1,2019-06-20 01:46:28.321,2019-06-20 01:58:14.674,S2,2
62,S1,1,2019-06-20 02:01:19.488,2019-06-20 02:12:51.201,CAL,5
63,S2,2,2019-06-20 02:01:31.762,2019-06-20 02:11:31.676,CAL,5
64,S1,1,2019-06-20 02:33:56.189,2019-06-20 02:45:42.502,S2,2
65,S1,1,2019-06-20 02:33:56.189,2019-06-20 02:45:42.502,S2,2
66,S2,2,2019-06-20 02:33:56.189,2019-06-20 02:45:42.502,S1,1
67,S2,2,2019-06-20 02:33:56.189,2019-06-20 02:45:42.502,S1,1
68,S1,1,2019-06-20 03:21:18.953,2019-06-20 03:33:05.307,S2,2
69,S2,2,2019-06-20 03:21:18.953,2019-06-20 03:33:05.307,S1,1
70,S1,1,2019-06-20 03:21:18.953,2019-06-20 03:33:05.307,S2,2
71,S2,2,2019-06-20 03:21:18.953,2019-06-20 03:33:05.307,S1,1
72,S2,2,2019-06-20 03:34:59.419,2019-06-20 03:46:02.497,CAL,5
73,S1,1,2019-06-20 03:36:11.067,2019-06-20 03:44:57.220,CAL,5
74,S1,1,2019-06-20 04:08:46.821,2019-06-20 04:20:33.129,S2,2
